from|to|low_val|up_val|A|B|C|K
1982-01-01T00:00+00:00|1983-01-01T00:00+00:00|0|1000|5.781|0.25|1.358|0
1983-01-01T00:00+00:00|1984-01-01T00:00+00:00|0|1000|7.236|0.2|1.988|0
1984-01-01T00:00+00:00|1985-05-14T00:00+00:00|0|1000|6.541|0.2|1.962|0
1985-05-14T00:00+00:00|1986-01-01T00:00+00:00|0|1000|5.679|0.15|1.992|0
1986-01-01T00:00+00:00|1986-09-11T00:00+00:00|0|1000|7.312|0.245|1.767|0
1986-09-11T00:00+00:00|1989-01-01T00:00+00:00|0|1000|9.138|0.01|1.536|0
1989-01-01T00:00+00:00|1990-01-30T00:00+00:00|0|1000|9.24|0|1.503|0
1990-01-30T00:00+00:00|1993-01-01T00:00+00:00|0|1000|9.24|0.015|1.503|0
1993-01-01T00:00+00:00|1994-09-14T00:00+00:00|0|1000|9.465|0.015|1.504|0
1994-09-14T00:00+00:00|1995-01-25T00:00+00:00|0|1000|9.454|0.015|1.53|0
1995-01-25T00:00+00:00|1998-01-01T00:00+00:00|0|1000|9.465|0.02|1.53|0
1998-01-01T00:00+00:00|1999-01-01T00:00+00:00|0|1000|11.744|0.005|1.741|0
1999-01-01T00:00+00:00|2001-02-22T00:00+00:00|0|1000|11.744|0|1.741|0
2001-02-22T00:00+00:00|2002-02-18T00:00+00:00|0|1000|11.744|0.01|1.741|0
2002-02-18T00:00+00:00|2003-01-22T00:00+00:00|0|1000|9.251|0|1.681|0
2003-01-22T00:00+00:00|2004-05-06T00:00+00:00|0|1000|9.352|0|1.637|0
2004-05-06T00:00+00:00|2005-04-17T00:00+00:00|0|1000|9.749|0.02|1.627|0
2005-04-17T00:00+00:00|2006-02-20T00:00+00:00|0|1000|9.676|0.025|1.699|0
2006-02-20T00:00+00:00|2006-12-10T00:00+00:00|0|1000|9.069|0.015|1.842|0
2006-12-10T00:00+00:00|2007-01-25T00:00+00:00|0|1000|8.474|0.015|1.9|0
2007-01-25T00:00+00:00|2007-06-15T00:00+00:00|0|1000|8.901|0.05|1.834|0
2007-06-15T00:00+00:00|2007-08-15T00:00+00:00|0|1000|8.474|0.015|1.9|0
2007-08-15T00:00+00:00|2009-07-19T00:00+00:00|0|1000|9.251|0|1.681|0
2009-07-19T00:00+00:00|2031-01-01T00:00+00:00|0|1000|10.324|0|1.65|0
