from|to|low_val|up_val|A|B|C|K
1978-01-01T00:00+00:00|1979-01-01T00:00+00:00|0|1000|11.585|0|1.884|0
1979-01-01T00:00+00:00|1980-01-01T00:00+00:00|0|1000|11.608|0|1.891|0
1980-01-01T00:00+00:00|1982-01-01T00:00+00:00|0|1000|45.816|0|3.147|0
1982-01-01T00:00+00:00|1983-01-01T00:00+00:00|0|1000|18.952|0.09|1.812|0
1983-01-01T00:00+00:00|1984-01-01T00:00+00:00|0|1000|28.078|0.09|2.014|0
1984-01-01T00:00+00:00|1985-01-01T00:00+00:00|0|1000|28.009|0.09|2.017|0
1985-01-01T00:00+00:00|1987-06-10T00:00+00:00|0|1000|27.476|0.15|1.601|0
1987-06-10T00:00+00:00|1988-05-09T00:00+00:00|0|1000|30.317|0.105|2.043|0
1988-05-09T00:00+00:00|1989-04-06T00:00+00:00|0|1000|29.9|0.115|1.964|0
1989-04-06T00:00+00:00|1991-07-26T00:00+00:00|0|1000|30.738|0.12|1.935|0
1991-07-26T00:00+00:00|1992-06-02T00:00+00:00|0|1000|30.182|0.1|2.035|0
1992-06-02T00:00+00:00|1993-05-06T00:00+00:00|0|1000|27.373|0.09|1.951|0
1993-05-06T00:00+00:00|1993-08-25T00:00+00:00|0|1000|28.508|0.105|2.084|0
1993-08-25T00:00+00:00|1994-01-09T00:00+00:00|0|1000|24.869|0.055|2.215|0
1994-01-09T00:00+00:00|1995-03-05T00:00+00:00|0|1000|23.376|0.045|2.352|0
1995-03-05T00:00+00:00|1995-09-14T00:00+00:00|0|1000|24.829|0.065|2.22|0
1995-09-14T00:00+00:00|1998-01-17T00:00+00:00|0|1000|29.885|0.095|2.069|0
1998-01-17T00:00+00:00|1998-06-09T00:00+00:00|0|1000|31.465|0.115|2.078|0
1998-06-09T00:00+00:00|1999-01-01T00:00+00:00|0|1000|29.885|0.095|2.069|0
1999-01-01T00:00+00:00|2005-03-27T00:00+00:00|0|1000|29.885|0.095|2.069|0
2005-03-27T00:00+00:00|2006-02-21T00:00+00:00|0|1000|28.5|0.075|2.129|0
2006-02-21T00:00+00:00|2031-01-01T00:00+00:00|0|1000|23.164|0.105|1.763|0
